trading_date,original_holding,traded_holding,model_return,spy_return
2010-03-01,XLK,TQQQ,0.04289413937826847,0.010384698826648275
2010-03-02,XLK,TQQQ,0.006012326485968611,0.0027705564419051587
2010-03-03,XLK,TQQQ,0.0055542647136430645,0.0008913200199258675
2010-03-04,XLK,TQQQ,0.011038970150480276,0.003027571938123197
2010-03-05,XLK,TQQQ,0.04420187248474128,0.014293329359690299
2010-03-08,XLK,TQQQ,0.005332413661998325,0.00017502532224433764
2010-03-09,XLK,TQQQ,0.0177020282954079,0.0016627500392754069
2010-03-10,XLK,TQQQ,0.024470332644551007,0.004455723748993501
2010-03-11,XLK,TQQQ,0.00920951902807654,0.0041749649686237955
2010-03-12,XLK,TQQQ,0.0022814238338730863,8.663608917136578e-05
2010-03-15,XLK,TQQQ,-0.006733939857884286,0.0002598196737808589
2010-03-16,XLK,TQQQ,0.018908621315522733,0.00796610802110398
2010-03-17,XLK,TQQQ,0.006934331423484874,0.005927281078132118
2010-03-18,XLK,TQQQ,0.010142362437260077,-0.0005123617367681632
2010-03-19,XLK,TQQQ,-0.01768943446064164,-0.0050410089730779095
2010-03-22,XLK,TQQQ,0.027011924643235874,0.005346168066408641
2010-03-23,XLK,TQQQ,0.020914800703326186,0.007033256282488187
2010-03-24,XLK,TQQQ,-0.01422438512234303,-0.004854844616640652
2010-03-25,XLK,TQQQ,-0.0062617498027138785,-0.0016261110746894625
2010-03-26,XLK,TQQQ,0.005207166385205797,-0.0006000831025168019
2010-03-29,XLK,TQQQ,0.013716260863454233,0.006347554058559135
2010-03-30,XLK,TQQQ,0.010485305742535811,0.0006819112790896753
2010-03-31,XLK,TQQQ,-0.013478870916587615,-0.0034071679785347975
2010-04-01,XLK,TQQQ,-0.0019779192363703624,0.00683763292100692
2010-04-05,XLK,TQQQ,0.02891231810033723,0.008149397789496637
2010-04-06,XLK,TQQQ,0.007617438176816149,0.002357685872855342
2010-04-07,XLK,TQQQ,-0.005648163752702606,-0.005712368111105093
2010-04-08,XLK,TQQQ,0.0035833140515384443,0.0034639745741855688
2010-04-09,XLK,TQQQ,0.01801978631481438,0.006567369122990829
2010-04-12,XLK,TQQQ,0.004019675278434498,0.0015892497462293154
2010-04-13,XLK,TQQQ,0.015078720089743536,0.0007516616743852289
2010-04-14,XLK,TQQQ,0.0352421227995221,0.011349416586582395
2010-04-15,XLK,TQQQ,0.013374756058170734,0.0008251379825614524
2010-04-16,XLK,TQQQ,-0.03559567526578289,-0.015912278758410836
2010-04-19,XLK,TQQQ,-0.0015733390409904402,0.0037700816516514912
2010-04-20,XLK,TQQQ,0.014785180196671188,0.008930804746080545
2010-04-21,XLK,TQQQ,0.017599974668612184,-0.0018199337881136257
2010-04-22,XLK,TQQQ,0.014802748017813894,0.002983531990974786
2010-04-23,XLK,TQQQ,0.013238299552361,0.006527854383084897
2010-04-26,XLK,TQQQ,-0.007432472601184403,-0.0037763655996413403
2010-04-27,XLK,TQQQ,-0.06171774663041463,-0.023650557505359604
2010-04-28,XLK,TQQQ,0.0023515954913508885,0.007596167040720303
2010-04-29,XLK,TQQQ,0.05104123356865098,0.012397414901860637
2010-04-30,XLK,TQQQ,-0.05892727367630701,-0.016961799118030307
2010-05-03,XLE,ERX,0.029986327404382118,0.012961879868466752
2010-05-04,XLE,ERX,-0.07962065855642153,-0.023514764162321344
2010-05-05,XLE,ERX,-0.047208200972262526,-0.005956407149740106
2010-05-06,XLE,ERX,-0.10714287084901264,-0.03321346741614384
2010-05-07,XLE,ERX,-0.0473239092759683,-0.014875157330081934
2010-05-10,XLE,ERX,0.12507388014839727,0.04404099794892291
2010-05-11,XLE,ERX,-0.019448078571575267,-0.0028409247645568847
2010-05-12,XLE,ERX,0.037523451543755026,0.013985971609932202
2010-05-13,XLE,ERX,-0.020149879068875554,-0.01243081415418068
2010-05-14,XLE,ERX,-0.06090159854828703,-0.018104996230688175
2010-05-17,XLE,ERX,-0.027512683814426397,0.0005268026948397342
2010-05-18,XLE,ERX,-0.02857965955808539,-0.013602417410044532
2010-05-19,XLE,ERX,-0.03150076108028421,-0.005693944670464024
2010-05-20,XLE,ERX,-0.12795330613813483,-0.037759494810667094
2010-05-21,XLE,ERX,0.0471498709392133,0.01459921593321778
2010-05-24,XLE,ERX,-0.06485221073494751,-0.012831101805952039
2010-05-25,XLE,ERX,0.008264528966698714,0.0010212664681696904
2010-05-26,XLE,ERX,-0.012473271289626497,-0.00602858029789155
2010-05-27,XLE,ERX,0.12558638407235767,0.03349821805190101
2010-05-28,XLE,ERX,-0.053863379678501855,-0.012549651163231257
2010-06-01,XLP+IEF_5050,XLP+IEF_5050,-0.0004940381715564657,-0.016823662074404333
2010-06-02,XLP+IEF_5050,XLP+IEF_5050,0.005687331052621092,0.02603927353802682
2010-06-03,XLP+IEF_5050,XLP+IEF_5050,5.861445665766851e-05,0.0034441878646922497
2010-06-04,XLP+IEF_5050,XLP+IEF_5050,-0.006544600117152188,-0.03513683878436613
2010-06-07,XLP+IEF_5050,XLP+IEF_5050,-0.0017508629780306206,-0.01245086907746118
2010-06-08,XLP+IEF_5050,XLP+IEF_5050,0.0064275993970996925,0.010711962325298696
2010-06-09,XLP+IEF_5050,XLP+IEF_5050,-0.0008919509448438445,-0.005346085913907173
2010-06-10,XLP+IEF_5050,XLP+IEF_5050,0.003844075834612104,0.02923147934854997
2010-06-11,XLP+IEF_5050,XLP+IEF_5050,-0.0009908458235426965,0.004855691909186222
2010-06-14,XLP+IEF_5050,XLP+IEF_5050,0.002402758247818104,-0.001549946831439608
2010-06-15,XLP+IEF_5050,XLP+IEF_5050,0.003534248785479699,0.022737629579003826
2010-06-16,XLP+IEF_5050,XLP+IEF_5050,-0.0019928449057331488,-0.0003571510314941406
2010-06-17,XLP+IEF_5050,XLP+IEF_5050,0.006860307175943214,0.0016077197807047305
2010-06-18,XLP+IEF_5050,XLP+IEF_5050,-0.002836982452336212,0.0010790437662187014
2010-06-21,XLP+IEF_5050,XLP+IEF_5050,-0.0016923257094200173,-0.0028640444393610576
2010-06-22,XLP+IEF_5050,XLP+IEF_5050,-0.002497656551649907,-0.01651560817523734
2010-06-23,XLP+IEF_5050,XLP+IEF_5050,0.0050879302464208465,-0.00310300573914013
2010-06-24,XLP+IEF_5050,XLP+IEF_5050,-0.006455072719988353,-0.016570586215892247
2010-06-25,XLP+IEF_5050,XLP+IEF_5050,-0.004319440813963515,0.004189206714833249
2010-06-28,XLP+IEF_5050,XLP+IEF_5050,0.007787438393910939,-0.0031519788507277102
2010-06-29,XLP+IEF_5050,XLP+IEF_5050,-0.005755082925376964,-0.030875102134414134
