year,selected_window,training_sharpe
2013,70,1.2660645639598305
2014,70,1.3408318040970066
2015,70,1.362281718851883
2016,70,1.2684744956060472
2017,70,1.2780576982055272
2018,70,1.3610266750923332
2019,70,1.328140672566786
2020,70,1.3627945772514294
2021,70,1.3644192244984168
2022,70,1.3065036648975987
2023,70,1.3080785204742937
2024,60,1.3407498574952068
2025,60,1.3305391659715762
2026,60,1.3404530078231933
