trading_date,model_return,spy_return
2003-02-03,0.001045232919031136,0.0019754334552948283
2003-02-04,0.0019005870349437792,-0.009857428626056985
2003-02-05,-0.005554453808748749,-0.00620752865245211
2003-02-06,-0.0019629017402491566,-0.004714219600144176
2003-02-07,-0.0031545835150894597,-0.012196552001394911
2003-02-10,0.0024549415913821537,0.0070726921629782336
2003-02-11,-0.008923489960860342,-0.006903961627261479
2003-02-12,0.0022022697350894127,-0.01594152973977847
2003-02-13,0.0023665358480498,0.003045067048068173
2003-02-14,0.007135113326438125,0.02185796096066084
2003-02-18,0.003383647188846206,0.017587590026173938
2003-02-19,-0.0020148035505455075,-0.005255132111127381
2003-02-20,-0.003176071976664585,-0.009978850329605438
2003-02-21,0.000982319313559632,0.010079431467628464
2003-02-24,-0.004771057307749849,-0.01620095384449205
2003-02-25,0.004374371161390611,0.007995204588852944
2003-02-26,-0.0010745605699933325,-0.014561422270136348
2003-02-27,0.0009935294948710816,0.013214782584705764
2003-02-28,-0.00037671015080897874,0.006639853121936712
2003-03-03,-0.0029837017939533528,-0.009540696977977992
2003-03-04,-0.0033161566069761506,-0.01593526455282801
2003-03-05,-0.0028461229532392718,0.008459177622262004
2003-03-06,-0.00428905695761328,-0.00838822017784302
2003-03-07,0.0022350503663259857,0.006888213834733703
2003-03-10,-0.006436620942478322,-0.024003840702417123
2003-03-11,0.0047893574843416165,-0.009837715872602626
2003-03-12,0.002631671859190332,0.0067064199955333414
2003-03-13,0.005181070657688025,0.03454235302355935
2003-03-14,0.0008126536993064981,0.0032196117469749375
2003-03-17,0.010323401546257882,0.031498889960694054
2003-03-18,-0.006416726654462468,0.005876954867532591
2003-03-19,0.006212416163330126,0.007675543154062714
2003-03-20,-0.000721657140708265,0.0021601005386979732
2003-03-21,0.006590520146472434,0.0212591787932781
2003-03-24,-0.00917355503254047,-0.03323291834939612
2003-03-25,0.0003260702149281425,0.009574278213005494
2003-03-26,-0.0007314026828127984,-0.005027363218558567
2003-03-27,0.0019942752982047285,0.000803854999452458
2003-03-28,-0.00456104544071223,-0.0050487944199931745
2003-03-31,-0.0012780198460510261,-0.022719423843886255
2003-04-01,-0.0022569241743354285,0.015341079590864837
2003-04-02,0.006981159560809802,0.024174823441678095
2003-04-03,-0.0026185956772397656,-0.00476629352302349
2003-04-04,0.0012820249206586531,0.005929353370078605
2003-04-07,-0.0038387871288901865,-0.0019269798979034691
2003-04-08,0.007781949158716994,0.0015899986916088071
2003-04-09,-0.002340937844179547,-0.013153459916049881
2003-04-10,0.00028111941336916857,0.0055153781875931784
2003-04-11,-0.00019700610007311603,-0.004113822438161274
2003-04-14,0.007456896698082582,0.02065399186285477
2003-04-15,0.003578715694954715,0.009331105784496474
2003-04-16,-0.01348997871378177,-0.017041644019822444
2003-04-17,0.008227809970170252,0.01484416496990093
2003-04-21,-0.0046472899136305035,0.0010049572324548617
2003-04-22,0.009215420405315644,0.018851029372530137
2003-04-23,-0.0012891576309822517,0.009196452824212553
2003-04-24,-0.0005941607078204791,-0.008895635627137022
2003-04-25,-0.006904791786555564,-0.012368621342696562
2003-04-28,0.006705661053456158,0.017289122249310784
2003-04-29,0.003660057668839256,0.0034862151828356502
2003-04-30,-0.0012728910415363837,-0.002171283757647857
2003-05-01,0.009609261723489304,-0.00010882532729772354
2003-05-02,0.020939081149332406,0.01425459778936844
2003-05-05,-0.0024860730359228533,-0.0019311265630702623
2003-05-06,0.018068593726640936,0.009459366810271819
2003-05-07,-0.01223994865800404,-0.005537261763208123
2003-05-08,-0.016109001551404822,-0.010065343693646311
2003-05-09,0.027707781940327303,0.013845391573219734
2003-05-12,0.01531862773743109,0.012269218556464345
2003-05-13,-0.0018104272691232826,-0.0017917176840893667
2003-05-14,-0.003627652356094413,-0.0021116772270665107
2003-05-15,0.010315538896603416,0.006348518257953462
