sharpe,cagr,sharpe_vs_spy_diff
0.9232764987513827,0.17565197454772252,0.5320317590408106
1.0217143340379329,0.194516520660853,0.35555883704114166
0.8924289211169549,0.1714053974906664,0.3478180899433112
0.8869656914153441,0.16504396445873826,0.582852731697631
1.1446750791875342,0.2227186557409062,0.3988139747985836
0.8126046956506998,0.1529006120746521,0.6042728512085468
0.8554878185938034,0.15917233057879998,0.4131023058406501
1.1676553990492735,0.2225609555693222,0.44962287637087495
0.9480583615505441,0.18122094529466914,0.42959901603974215
1.013967019422746,0.18890227634953272,0.6273869033797927
1.0297564886962254,0.19686252843827567,0.42795813050445053
0.954658829059954,0.17559481630934548,0.4192495508955062
0.7712371606153748,0.1363095852687417,0.3703226998971055
0.9442175239791597,0.1711586996124903,0.28440350390387814
0.976570475184187,0.17833445356147704,0.4087550487934244
0.772803158194044,0.141277404876194,0.26387045334856274
0.9838715658562941,0.1902406198086981,0.35797591078703805
1.3630695686962444,0.27972358507432205,0.7747557608517305
1.1753603238130863,0.2377294050217338,0.7105548817939991
1.1118740037357344,0.2096940133288583,0.5097220893869934
1.0395205067434603,0.19593028786495958,0.4146891097840535
1.0938628878972525,0.22014778131062518,0.49726062878964783
1.2109731717135386,0.2310742024385064,0.4539536042768536
0.9687647057215036,0.1832600764258443,0.3269803662701789
1.182277835462453,0.2383215150260396,0.6070421001151703
0.9467446131707405,0.17631882442149838,0.4486076595134503
0.9649962933125747,0.1769385469497471,0.3982533289622969
1.196881627386121,0.24082063569237744,0.5015095121525037
0.7962080396629783,0.1457703738815157,0.22081567422237336
0.8378997336612743,0.157411788881046,0.5019152349702838
1.0693015492082065,0.19900890291834772,0.5945196643430775
1.1115367030100287,0.213849285860646,0.803996682789418
0.8660797306481777,0.16292002002571526,0.4728612146262539
0.9996545743680856,0.19966639306961387,0.48034788934732664
1.271164774978658,0.24564670423820423,0.5470899471100819
0.9817529944649274,0.1837109581731835,0.4166053831454887
1.0130989545296776,0.19841466022927245,0.45883473902500127
0.8392171221635797,0.152962390381699,0.3721682926242754
1.073437766185118,0.2031983115271383,0.35668036975718487
0.9962930470931365,0.19374765489216306,0.4842868630437379
0.9839984103675254,0.18651709939732974,0.2681276140136549
1.296250692878118,0.24946934599620207,0.5978125746010015
0.6442541034325578,0.11403941160893538,0.38097867174998895
1.1750987170835723,0.23319294124091128,0.6177005607662241
1.1745820461063536,0.2323328534428637,0.6017862443125365
1.0026209988870003,0.18833480029008798,0.459499973669416
1.1551987485330228,0.22888870054799626,0.4464332980987743
1.1884530199764491,0.2217052681428744,0.5275085390972571
