cagr,vol,sharpe,maxdd,calmar,growth
0.1343288351220464,0.21418150809747322,0.695716058947696,-0.5708506456090064,0.23531345047133825,100.83705561907426
0.06919430067954013,0.24879859793058345,0.39380552111981915,-0.6099696963486896,0.11343891523421709,11.576175110627164
0.1118622103197815,0.23266545608294117,0.5726675076237236,-0.6298781974424741,0.1775933994444977,48.48547872990413
0.08268293614701139,0.22473068179502573,0.46573843957185207,-0.5580619441237543,0.14816085744179652,18.317104230015907
0.11908741778637633,0.23663493051699502,0.5940882687712329,-0.748992137987289,0.15899688627759312,61.45793941752467
0.13762705140324805,0.22330776028518237,0.6889989053860452,-0.4916014059660416,0.27995658623636016,112.14360220687382
0.1309678670350658,0.23280130492870943,0.6452207183374505,-0.7418657398261866,0.17653850286407693,90.45850743155498
0.08859147232134679,0.22598579283423234,0.48884346708015386,-0.6332813429042597,0.1398927559038166,22.354933976520904
0.10649393242204708,0.23161269718617553,0.5531377480321795,-0.7186977377189974,0.1481762454965247,40.61385991475912
0.07877260263477881,0.25396762728513483,0.425812761999193,-0.8125242616313839,0.09694800063769099,16.04498002415208
0.14434700806189338,0.22766027318719279,0.705845506327309,-0.6240259671898873,0.23131570744069607,139.1230613892547
0.10099858949042284,0.22663373931230466,0.5383399407576411,-0.5731007261470122,0.17623182955890132,33.84762238048381
0.12392650317408749,0.22166943269928066,0.637862867181314,-0.5549696520448815,0.22330320715278557,71.9728442909594
0.16143894791881208,0.2272420130098193,0.772312519058167,-0.48584925285282,0.33228197217731925,239.37238821955137
0.10275490541022525,0.23589005114640502,0.532313354786958,-0.8005481378245041,0.1283556860046699,35.88113671908033
0.13759042874098126,0.22844487714773948,0.6788376812024718,-0.6157436551119638,0.2234540747577212,112.01153518139483
0.10638081575548686,0.2070632977159872,0.5917388030151063,-0.5684514670269007,0.18714142178553408,40.462161709604715
0.10856109041315798,0.23677702239186732,0.5538002268850911,-0.6010865654285589,0.1806080798624351,43.485512607390774
0.07260657464039233,0.249232188349155,0.4063204138544817,-0.8204651174619216,0.08849440773911031,13.008202163213147
0.14451890483330132,0.2196352990649398,0.7245086917150163,-0.60370304078089,0.23938740584504278,139.8900512853835
0.12659029175625913,0.22737693876366313,0.6381382710736558,-0.6360598472945782,0.19902261130725235,78.4874282442599
0.12374806068818112,0.22928366313236126,0.6236565099308161,-0.7064078436199859,0.1751793412344268,71.55576287781435
0.11957332751772731,0.2241292263553304,0.6160114070695237,-0.5251044612223493,0.22771341008869356,62.44228827159977
0.13096101668906912,0.23328203250293758,0.6445778548794695,-0.6060456717097917,0.21609100238204576,90.43845423617168
0.09078418396756316,0.22847560388071353,0.49523259667901315,-0.6082323007741421,0.14925906409773934,24.063625695190893
0.11766651466535527,0.23106863195865066,0.5972784150042955,-0.601680991222374,0.19556295841473104,58.66530639344444
0.027296768330525634,0.2302024415494923,0.23245233227154244,-0.7851341877788947,0.034767010219930464,2.679833870795276
0.14100091370037648,0.23031773955996626,0.6880295453172515,-0.7199470141615028,0.19584901517314485,124.98249054795721
0.07972090030246504,0.22692491060481196,0.4519940936570669,-0.6777970136929963,0.11761766235602522,16.56940636406016
0.10212742246672502,0.2237132500606749,0.547208032553044,-0.7414987853260027,0.13773107183422334,35.14133497966098
0.10439720045454992,0.22297127088928978,0.5567902418087621,-0.7526658378139826,0.13870325343549225,37.88984062696554
0.1333563093867205,0.22767892529611294,0.6638921696523203,-0.5762039067316964,0.23143943980375775,97.72040820134606
0.10774161351289657,0.22821699032659193,0.5627863620318797,-0.6253275308645525,0.17229628985619325,42.324233758687086
0.07096466414568958,0.23998504978804477,0.4059721825321874,-0.7265304095807231,0.0976761099189818,12.298855903368683
0.11357114767963927,0.22996394648585863,0.5830727507721442,-0.6094662590252363,0.18634525865514173,51.28921022371976
0.09815452704763117,0.228191275648271,0.5249598833121383,-0.622545476202957,0.1576664369104365,30.79013472847176
0.1136181419091935,0.22102637485773688,0.5975554532070194,-0.5440512414185659,0.20883720734272046,51.368496428484704
0.06958288101135568,0.23344678171806307,0.40538893563225353,-0.6060456717097917,0.11481458289281508,11.731171098392135
0.09100554552561158,0.2266251987030405,0.4975153240977223,-0.776659521880845,0.1171756000688982,24.24302178240314
0.06947910100323695,0.24029822693157413,0.39976928454454386,-0.7356897588127304,0.09444076143640168,11.689579134127172
0.06437172611326014,0.22951694976823142,0.3872335237457133,-0.6801499850898244,0.09464342795620125,9.810742320529538
0.11658454286649134,0.2428304711934617,0.5761626216946731,-0.6298781974424741,0.1850906148837432,56.62197562203544
0.06355359975171693,0.24990186172182507,0.37163627906413194,-0.7683109785551475,0.08271858859967494,9.538461402250645
0.1077032266235669,0.21289235780309704,0.586892786455845,-0.6170875492947228,0.1745347588792908,42.27058194311284
0.07513471218476853,0.24778399072037455,0.41648420260981256,-0.7876748991679247,0.09538797321602924,14.17886383789912
0.09836513733566532,0.24075148966896753,0.5102321339219843,-0.80749039083203,0.12181586115756854,31.007019938526856
0.12127653682992512,0.22027192270673804,0.6297565239741376,-0.4794758401140682,0.25293565740679075,66.01519331198713
0.11597274231469212,0.22907420603349082,0.5937386114359232,-0.5981025299535667,0.19390110642684555,55.497391133734546
0.10240540958750532,0.24230816893181986,0.524133383392904,-0.6907503422011012,0.1482524196241246,35.4672325908713
0.0919388523949447,0.22095855505892745,0.5085515571966036,-0.7385166901101672,0.12449123171641505,25.01380373206004
0.09064028805516888,0.23627351540170494,0.4854269481298626,-0.7546346749266477,0.12011148051735011,23.947702616100973
0.12383179315704429,0.22411098427746293,0.6328402598604638,-0.641149775922437,0.19314019564131427,71.75118084194604
0.11266997592192807,0.22929085171585237,0.580339062207939,-0.6332260198675134,0.17793011087178862,49.79162620677839
0.07872704125001007,0.24889026765586733,0.429374928592974,-0.7764713155491412,0.10139079148639536,16.02019448003224
0.11953729147948478,0.2366766744021482,0.5954246121057195,-0.53316459712924,0.22420335506730715,62.36876357584581
0.13096560495013376,0.2284681789239401,0.653088206493219,-0.5736710378980705,0.22829391114111577,90.45188509346735
0.07539276727628708,0.23776796895943422,0.42497327391597167,-0.7538495503759758,0.10001036312707967,14.303966497225442
0.0653364664963334,0.24189881716176911,0.38296830631828777,-0.7143899602229733,0.09145770536296559,10.14153958905547
0.13813835879218783,0.226156067506628,0.684982808773345,-0.6369104565796189,0.21688819419613256,114.00335101048202
0.11172005522542094,0.22850706760419037,0.5776574224083437,-0.7817818904749181,0.14290437855698226,48.25909053166284
0.07917886912919325,0.22849864296087707,0.44787882809556,-0.6828296329738457,0.11595699030277151,16.267645799086072
